Date,Time-Worked,Tips
01.01.2025,61,50
01.02.2025,41,30
01.03.2025,81,60
01.04.2025,45,30
12.04.2025,8,15
01.05.2025,6,13
02.05.2025,11,7.5
03.05.2025,9,7
04.05.2025,8,0
10.05.2025,11.5,50
11.05.2025,12.5,7
14.05.2025,5,0
15.05.2025,11.5,4
16.05.2025,5.5,0
17.05.2025,14.5,10
18.05.2025,13,45
21.05.2025,6,9
23.05.2025,7,0
24.05.2025,8.5,0
25.05.2025,5.5,0
26.05.2025,5,0
28.05.2025,8,10
31.05.2025,9.5,25
01.06.2025,6,1
06.06.2025,6,4
07.06.2025,12,26
08.06.2025,2,0
11.06.2025,12,0
14.06.2025,15.5,35
18.06.2025,4,0
19.06.2025,9,0
21.06.2025,15,25
22.06.2025,9,0
27.06.2025,7,0
28.06.2025,6,0
